feature,importance,fold,seed
T2PF_min_vsT2_ALL,0.0,2.0,42.0
T2Stl_max_ALL,0.0,2.0,42.0
T2Stl_max_vsT2_ALL,0.0,2.0,42.0
T2Stl_mean_ALL,0.0,2.0,42.0
T2Stl_mean_vsT2_ALL,0.0,2.0,42.0
T2Stl_median_ALL,0.0,2.0,42.0
T2Stl_median_vsT2_ALL,0.0,2.0,42.0
T2Stl_min_ALL,0.0,2.0,42.0
T2Stl_min_vsT2_ALL,0.0,2.0,42.0
T2TO_max_ALL,0.0,2.0,42.0
T2TO_max_vsT2_ALL,0.0,2.0,42.0
T2TO_mean_ALL,0.0,2.0,42.0
T2TO_mean_vsT2_ALL,0.0,2.0,42.0
T2TO_median_ALL,0.0,2.0,42.0
T2TO_median_vsT2_ALL,0.0,2.0,42.0
T2TO_min_ALL,0.0,2.0,42.0
T2TO_min_vsT2_ALL,0.0,2.0,42.0
T2TRB_max_ALL,0.0,2.0,42.0
T2TRB_max_vsT2_ALL,0.0,2.0,42.0
T2TRB_mean_ALL,0.0,2.0,42.0
T2TRB_mean_vsT2_ALL,0.2,2.0,42.0
T2TRB_median_ALL,0.0,2.0,42.0
T2TRB_median_vsT2_ALL,0.0,2.0,42.0
T2TRB_min_ALL,0.0,2.0,42.0
T2TRB_min_vsT2_ALL,0.0,2.0,42.0
T2TRBrate_max_ALL,0.0,2.0,42.0
T2TRBrate_max_vsT2_ALL,1.4,2.0,42.0
T2TRBrate_mean_ALL,0.0,2.0,42.0
T2TRBrate_mean_vsT2_ALL,3.6,2.0,42.0
T2TRBrate_median_ALL,0.0,2.0,42.0
T2TRBrate_median_vsT2_ALL,0.4,2.0,42.0
T2TRBrate_min_ALL,0.0,2.0,42.0
T2TRBrate_min_vsT2_ALL,0.6,2.0,42.0
T2_seed,10.4,2.0,42.0
T2_seed_ALL,0.0,2.0,42.0
T2_seed_vsT2_ALL,25.0,2.0,42.0
T2winrate,72.0,2.0,42.0
T2winrate_ALL,0.0,2.0,42.0
T2winrate_vsT2_ALL,58.4,2.0,42.0
Team1ID,0.0,2.0,42.0
Team2ID,0.0,2.0,42.0
seeddiff,373.8,2.0,42.0
seeddiff_ALL,15.6,2.0,42.0
seeddiff_vsT2_ALL,315.2,2.0,42.0
winratediff,0.0,2.0,42.0
winratediff_ALL,45.8,2.0,42.0
winratediff_vsT2_ALL,0.0,2.0,42.0
